iter	Passed	Remaining
1320	170081	87422
1321	170198	87287
1322	170310	87150
1323	170422	87013
1324	170545	86881
1325	170674	86752
1326	170792	86619
1327	170938	86498
1328	171079	86376
1329	171216	86251
1330	171332	86117
1331	171483	85999
1332	171578	85853
1333	171733	85738
1334	171881	85619
1335	172003	85486
1336	172113	85348
1337	172265	85231
1338	172396	85103
1339	172527	84976
1340	172668	84853
1341	172801	84726
1342	172912	84589
1343	173055	84467
1344	173177	84335
1345	173275	84191
1346	173403	84062
1347	173510	83923
1348	173604	83778
1349	173758	83661
1350	173862	83520
1351	174002	83397
1352	174119	83263
1353	174252	83136
1354	174397	83015
1355	174526	82887
1356	174631	82747
1357	174763	82619
1358	174912	82500
1359	175022	82363
1360	175133	82226
1361	175253	82093
1362	175405	81975
1363	175529	81845
1364	175669	81721
1365	175797	81592
1366	175908	81455
1367	176051	81333
1368	176188	81208
1369	176297	81070
1370	176395	80928
1371	176518	80797
1372	176637	80664
1373	176751	80528
1374	176897	80407
1375	177005	80269
1376	177115	80132
1377	177245	80005
1378	177357	79868
1379	177484	79739
1380	177620	79613
1381	177729	79476
1382	177842	79341
1383	177975	79214
1384	178119	79092
1385	178244	78962
1386	178395	78843
1387	178517	78712
1388	178628	78575
1389	178748	78443
1390	178877	78315
1391	179028	78196
1392	179164	78070
1393	179272	77933
1394	179406	77807
1395	179558	77688
1396	179662	77549
1397	179808	77428
1398	179916	77290
1399	180037	77159
1400	180160	77027
1401	180313	76909
1402	180464	76790
1403	180578	76655
1404	180684	76517
1405	180802	76384
1406	180945	76262
1407	181064	76129
1408	181203	76005
1409	181340	75880
1410	181461	75748
1411	181600	75623
1412	181732	75496
1413	181865	75369
1414	182007	75246
1415	182113	75109
1416	182253	74984
1417	182360	74847
1418	182503	74724
1419	182621	74591
1420	182748	74462
1421	182890	74339
1422	183035	74217
1423	183153	74084
1424	183296	73961
1425	183449	73842
1426	183591	73719
1427	183751	73603
1428	183897	73481
1429	184020	73350
1430	184170	73230
1431	184316	73108
1432	184459	72985
1433	184612	72866
1434	184721	72729
1435	184857	72604
1436	184968	72468
1437	185105	72343
1438	185223	72210
1439	185326	72071
1440	185445	71938
1441	185563	71805
1442	185681	71673
1443	185792	71537
1444	185926	71411
1445	186084	71293
1446	186199	71159
1447	186328	71031
1448	186449	70899
1449	186574	70769
1450	186697	70638
1451	186824	70509
1452	186958	70382
1453	187129	70270
1454	187270	70146
1455	187410	70021
1456	187592	69912
1457	187712	69780
1458	187845	69653
1459	187994	69532
1460	188129	69405
1461	188233	69268
1462	188336	69129
1463	188459	68998
1464	188613	68879
1465	188753	68754
1466	188888	68628
1467	189002	68493
1468	189148	68371
1469	189295	68249
1470	189407	68114
1471	189559	67994
1472	189712	67874
1473	189880	67759
1474	189982	67621
1475	190107	67490
1476	190213	67353
1477	190322	67218
1478	190419	67078
1479	190552	66950
1480	190686	66824
1481	190815	66695
1482	190938	66564
1483	191047	66428
1484	191155	66292
1485	191290	66166
1486	191402	66031
1487	191503	65893
1488	191605	65755
1489	191733	65626
1490	191846	65492
1491	192000	65372
1492	192147	65250
1493	192256	65115
1494	192386	64986
1495	192528	64862
1496	192657	64734
1497	192774	64601
1498	192903	64472
1499	193043	64347
1500	193194	64226
1501	193303	64091
1502	193446	63967
1503	193573	63838
1504	193707	63710
1505	193824	63578
1506	193918	63438
1507	194026	63302
1508	194133	63167
1509	194262	63038
1510	194380	62906
1511	194505	62776
1512	194611	62641
1513	194712	62503
1514	194826	62370
1515	194944	62238
1516	195044	62100
1517	195180	61974
1518	195277	61835
1519	195389	61702
1520	195474	61559
1521	195610	61433
1522	195725	61300
1523	195839	61167
1524	195941	61030
1525	196043	60894
1526	196140	60756
1527	196238	60618
1528	196354	60485
1529	196467	60352
1530	196575	60218
1531	196675	60081
1532	196792	59949
1533	196901	59814
1534	197005	59679
1535	197129	59549
1536	197241	59416
1537	197352	59282
1538	197469	59150
1539	197583	59018
1540	197713	58890
1541	197838	58761
1542	197951	58628
1543	198062	58495
1544	198176	58362
1545	198272	58224
1546	198371	58088
1547	198482	57954
1548	198598	57822
1549	198719	57692
1550	198831	57559
1551	198976	57436
1552	199098	57306
1553	199218	57175
1554	199350	57048
1555	199488	56923
1556	199608	56792
1557	199694	56652
1558	199811	56521
1559	199922	56388
1560	200027	56253
1561	200135	56119
1562	200267	55992
1563	200364	55856
1564	200487	55726
1565	200593	55592
1566	200706	55460
1567	200801	55322
1568	200928	55194
1569	201036	55060
1570	201130	54923
1571	201234	54789
1572	201349	54657
1573	201470	54527
1574	201593	54398
1575	201704	54265
1576	201819	54134
1577	201924	54000
1578	202038	53868
1579	202152	53736
1580	202287	53610
1581	202416	53482
1582	202538	53353
1583	202645	53220
1584	202739	53083
1585	202835	52947
1586	202974	52822
1587	203088	52690
1588	203171	52550
1589	203275	52417
1590	203403	52289
1591	203544	52164
1592	203641	52028
1593	203762	51899
1594	203873	51767
1595	203962	51629
1596	204100	51504
1597	204225	51375
1598	204316	51238
1599	204440	51110
1600	204531	50973
1601	204640	50840
1602	204753	50709
1603	204877	50580
1604	204984	50447
1605	205075	50311
1606	205201	50183
1607	205321	50053
1608	205423	49919
1609	205527	49786
1610	205618	49649
1611	205735	49519
1612	205837	49385
1613	205964	49257
1614	206046	49119
1615	206141	48984
1616	206255	48853
1617	206338	48715
1618	206447	48583
1619	206551	48450
1620	206656	48317
1621	206784	48190
1622	206921	48065
1623	207016	47929
1624	207119	47796
1625	207238	47667
1626	207339	47533
1627	207455	47403
1628	207579	47275
1629	207688	47144
1630	207793	47011
1631	207919	46883
1632	208011	46748
1633	208123	46617
1634	208217	46482
1635	208331	46352
1636	208480	46229
1637	208618	46104
1638	208743	45977
1639	208860	45847
1640	208985	45719
1641	209121	45593
1642	209230	45462
1643	209333	45330
1644	209455	45201
1645	209565	45070
1646	209684	44941
1647	209810	44813
1648	209932	44685
1649	210049	44556
1650	210181	44429
1651	210277	44295
1652	210395	44166
1653	210496	44033
1654	210599	43901
1655	210700	43768
1656	210791	43633
1657	210888	43500
1658	211006	43371
1659	211134	43244
1660	211260	43116
1661	211371	42986
