iter	MultiClass_SumError	MultiClass_SumWeight
799	1051523.166	1042606.638
800	1051522.444	1042606.638
801	1051499.668	1042606.638
802	1051518.687	1042606.638
803	1051632.139	1042606.638
804	1051679.102	1042606.638
805	1051717.88	1042606.638
806	1051763.384	1042606.638
807	1051645.255	1042606.638
808	1051919.886	1042606.638
809	1052011.367	1042606.638
810	1051930.569	1042606.638
811	1051951.008	1042606.638
812	1052096.36	1042606.638
813	1052100.242	1042606.638
814	1052096.528	1042606.638
815	1052011.973	1042606.638
816	1052012.117	1042606.638
817	1051964.664	1042606.638
818	1051985.115	1042606.638
819	1051920.719	1042606.638
820	1052046.495	1042606.638
821	1052202.375	1042606.638
822	1052210.665	1042606.638
823	1052224.085	1042606.638
824	1052322.799	1042606.638
825	1052284.061	1042606.638
826	1052418.376	1042606.638
827	1052486.793	1042606.638
828	1052583.759	1042606.638
829	1052495.795	1042606.638
830	1052674.878	1042606.638
831	1052644.198	1042606.638
832	1052611.034	1042606.638
833	1052728.927	1042606.638
834	1052850.466	1042606.638
835	1052842.899	1042606.638
836	1052733.678	1042606.638
837	1052755.488	1042606.638
838	1052759.429	1042606.638
839	1052836.421	1042606.638
840	1052856.582	1042606.638
841	1052943.913	1042606.638
842	1052943.26	1042606.638
843	1053038.014	1042606.638
844	1053045.144	1042606.638
845	1053149.812	1042606.638
846	1053198.803	1042606.638
847	1052851.592	1042606.638
848	1052924.895	1042606.638
849	1052824.426	1042606.638
850	1052913.409	1042606.638
851	1052960.555	1042606.638
852	1052917.048	1042606.638
853	1053018.751	1042606.638
854	1052986.631	1042606.638
855	1053128.315	1042606.638
856	1053142.301	1042606.638
857	1053128.584	1042606.638
858	1053114.33	1042606.638
859	1053169.016	1042606.638
860	1053207.712	1042606.638
861	1053207.905	1042606.638
862	1053503.615	1042606.638
863	1053565.52	1042606.638
864	1053496.793	1042606.638
865	1053463.058	1042606.638
866	1053603.416	1042606.638
867	1053676.284	1042606.638
868	1053743.018	1042606.638
869	1053720.701	1042606.638
870	1053705.904	1042606.638
871	1053677.126	1042606.638
872	1053795.139	1042606.638
873	1053803.651	1042606.638
874	1053922.919	1042606.638
875	1053866.91	1042606.638
876	1053908.948	1042606.638
877	1053941.453	1042606.638
878	1053934.363	1042606.638
879	1053960.829	1042606.638
880	1053982.896	1042606.638
881	1053941.089	1042606.638
882	1053886.208	1042606.638
883	1053889.532	1042606.638
884	1053932.743	1042606.638
885	1054327.234	1042606.638
886	1054360.514	1042606.638
887	1054318.151	1042606.638
888	1054430.069	1042606.638
889	1054501.34	1042606.638
890	1054820.678	1042606.638
891	1054969.786	1042606.638
892	1054980.869	1042606.638
893	1055081.845	1042606.638
894	1055400.675	1042606.638
895	1055365.66	1042606.638
896	1055441.781	1042606.638
897	1055261.288	1042606.638
898	1055243.295	1042606.638
899	1055242.015	1042606.638
900	1055179.191	1042606.638
901	1055147.267	1042606.638
902	1055071.697	1042606.638
903	1055125.414	1042606.638
904	1055260.837	1042606.638
905	1055242.095	1042606.638
906	1055314.241	1042606.638
907	1055257.24	1042606.638
908	1055350.681	1042606.638
909	1055414.625	1042606.638
910	1055332.641	1042606.638
911	1055402.42	1042606.638
912	1055441.056	1042606.638
913	1055627.429	1042606.638
914	1055733.066	1042606.638
915	1055927.036	1042606.638
916	1055920.018	1042606.638
917	1055974.853	1042606.638
918	1055974.275	1042606.638
919	1055993.905	1042606.638
920	1056317.04	1042606.638
921	1056323.013	1042606.638
922	1056272.155	1042606.638
923	1056251.006	1042606.638
924	1056271.236	1042606.638
925	1056062.203	1042606.638
926	1056100.202	1042606.638
927	1056122.006	1042606.638
928	1056014.299	1042606.638
929	1056012.571	1042606.638
930	1055973.602	1042606.638
931	1056008.78	1042606.638
932	1055970.5	1042606.638
933	1056127.733	1042606.638
934	1056107.261	1042606.638
935	1056007.159	1042606.638
936	1056039.529	1042606.638
937	1056163.611	1042606.638
938	1056250.499	1042606.638
